,gua,gus,wua,wus
376,0.76,42.675000000000004,0.27,41.9
377,0.76,42.675000000000004,0.27,54.06666666666667
378,0.76,42.675000000000004,0.27,66.23333333333333
379,0.76,42.675000000000004,0.27,78.4
380,0.76,42.675000000000004,0.36,41.9
381,0.76,42.675000000000004,0.36,54.06666666666667
382,0.76,42.675000000000004,0.36,66.23333333333333
383,0.76,42.675000000000004,0.36,78.4
384,0.76,53.6,0.09,41.9
385,0.76,53.6,0.09,54.06666666666667
386,0.76,53.6,0.09,66.23333333333333
387,0.76,53.6,0.09,78.4
388,0.76,53.6,0.18,41.9
389,0.76,53.6,0.18,54.06666666666667
390,0.76,53.6,0.18,66.23333333333333
391,0.76,53.6,0.18,78.4
392,0.76,53.6,0.27,41.9
393,0.76,53.6,0.27,54.06666666666667
394,0.76,53.6,0.27,66.23333333333333
395,0.76,53.6,0.27,78.4
396,0.76,53.6,0.36,41.9
397,0.76,53.6,0.36,54.06666666666667
398,0.76,53.6,0.36,66.23333333333333
399,0.76,53.6,0.36,78.4
